Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,16477,0.67225622195022439,24510
Basilicata,4954,0.41965268953833124,11805
Calabria,13955,0.35526985743380857,39280
Campania,86384,0.85406100153245346,101145
Emilia-Romagna,88935,0.67566951566951572,131625
Friuli-Venezia Giulia,21215,0.56853812139890125,37315
Lazio,81911,0.61782320108613664,132580
Liguria,24384,0.51748726655348043,47120
Lombardia,118602,0.50545291823818961,234645
Marche,17494,0.63614545454545457,27500
Molise,4120,0.46685552407932013,8825
P.A. Bolzano,9433,0.45746847720659556,20620
P.A. Trento,8204,0.522547770700637,15700
Piemonte,67333,0.54406108597285063,123760
Puglia,43781,0.58683734334159909,74605
Sardegna,18897,0.56696669666966693,33330
Sicilia,69448,0.55343666573694072,125485
Toscana,57111,0.70883703611766169,80570
Umbria,11449,0.72993305706088618,15685
Valle d'Aosta,2270,0.57908163265306123,3920
Veneto,85387,0.7304277159965783,116900
